New op,SYMPY expression,Expression for LLM,Value
N/A,(10 - 4),(10 - 4),6.00000000000000
cos,cos((10 - 4)),cos((10 - 4)),0.960170286650366
sin,sin(cos((10 - 4))),sin(cos((10 - 4))),0.819289219220601
sin,sin(sin(cos((10 - 4)))),sin(sin(cos((10 - 4)))),0.730660735355453
exp,exp(sin(sin(cos((10 - 4))))),e^(sin(sin(cos((10 - 4))))),2.07645213985703
pow,(exp(sin(sin(cos((10 - 4))))))**2,(e^(sin(sin(cos((10 - 4))))))^2,4.31165348911685
*,((exp(sin(sin(cos((10 - 4))))))**2)*(7),((e^(sin(sin(cos((10 - 4))))))^2)*(7),30.1815744238179
log,"log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7)",log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)),1.75097068146766
sin,"sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))",sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7))),0.983812463191386
tan,"tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7)))",tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))),1.50331597313676
*,"(tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7)",(tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7),10.5232118119573
sqrt,"sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))",sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7)),3.24395003228430
sin,"sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7)))",sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))),-0.102178738695774
tan,"tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))",tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7)))),-0.102535828907267
sin,"sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7)))))",sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))),-0.102356253282186
pow,"(sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5",(sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5,-1.12349695961985e-5
/,"((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)",((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9),-1.24832995513317e-6
tan,"tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9))",tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)),-1.24832995513382e-6
*,"(tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)))*(2)",(tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)))*(2),-2.49665991026763e-6
pow,"((tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)))*(2))**5",((tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)))*(2))^5,-9.70056295529425e-29
